2018-07-27 10:01:34 status half-installed ncurses-bin:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:34 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:34 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:34 install libpam-modules:armhf <none> 1.1.8-3.6
2018-07-27 10:01:34 status half-installed libpam-modules:armhf 1.1.8-3.6
2018-07-27 10:01:36 status unpacked libpam-modules:armhf 1.1.8-3.6
2018-07-27 10:01:37 status unpacked libpam-modules:armhf 1.1.8-3.6
2018-07-27 10:01:37 install libpam-modules-bin:armhf <none> 1.1.8-3.6
2018-07-27 10:01:37 status half-installed libpam-modules-bin:armhf 1.1.8-3.6
2018-07-27 10:01:37 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2018-07-27 10:01:37 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2018-07-27 10:01:37 install libpam-runtime:all <none> 1.1.8-3.6
2018-07-27 10:01:37 status half-installed libpam-runtime:all 1.1.8-3.6
2018-07-27 10:01:38 status unpacked libpam-runtime:all 1.1.8-3.6
2018-07-27 10:01:38 status unpacked libpam-runtime:all 1.1.8-3.6
2018-07-27 10:01:38 install libpam0g:armhf <none> 1.1.8-3.6
2018-07-27 10:01:38 status half-installed libpam0g:armhf 1.1.8-3.6
2018-07-27 10:01:38 status unpacked libpam0g:armhf 1.1.8-3.6
2018-07-27 10:01:38 status unpacked libpam0g:armhf 1.1.8-3.6
2018-07-27 10:01:39 install libpcre3:armhf <none> 2:8.39-3
2018-07-27 10:01:39 status half-installed libpcre3:armhf 2:8.39-3
2018-07-27 10:01:39 status unpacked libpcre3:armhf 2:8.39-3
2018-07-27 10:01:39 status unpacked libpcre3:armhf 2:8.39-3
2018-07-27 10:01:40 upgrade perl-base:armhf 5.24.1-3+deb9u4 5.24.1-3+deb9u4
2018-07-27 10:01:40 status half-configured perl-base:armhf 5.24.1-3+deb9u4
2018-07-27 10:01:40 status unpacked perl-base:armhf 5.24.1-3+deb9u4
2018-07-27 10:01:40 status half-installed perl-base:armhf 5.24.1-3+deb9u4
2018-07-27 10:01:42 status half-installed perl-base:armhf 5.24.1-3+deb9u4
